datetime,timestamp,open,high,low,close,volume,rsi,max_price,min_price,fib_23.6,fib_38.2,fib_50.0,fib_61.8,fib_78.6
2024-02-24,1708732800000,50744.15,51698.0,50585.0,51568.22,16560.4211,67.93329974394919,52985.0,42258.1,50453.4516,48887.3242,47621.55,46355.7758,44553.6566
2024-02-25,1708819200000,51568.21,51958.55,51279.8,51728.85,18721.63159,68.53648191894564,52985.0,42574.0,50528.004,49007.998,47779.5,46551.002,44801.954
2024-02-26,1708905600000,51728.85,54910.0,50901.44,54476.47,51256.72199,76.63318813683424,54910.0,42788.0,52049.208,50279.396,48849.0,47418.604,45382.108
2024-02-27,1708992000000,54476.48,57588.15,54450.13,57037.34,67194.98562,81.429788158059,57588.15,44331.1,54459.4862,52523.9569,50959.625,49395.293099999995,47168.1087
2024-02-28,1709078400000,57037.35,64000.0,56691.85,62432.1,118763.46984,87.33011431558135,64000.0,45242.12,59573.14032,56834.48984,54621.06,52407.63016,49256.30632
2024-02-29,1709164800000,62432.11,63676.35,60364.7,61130.98,78425.07603,80.67255732598294,64000.0,46800.0,59940.8,57429.6,55400.0,53370.4,50480.8
2024-03-01,1709251200000,61130.99,63114.23,60777.0,62387.9,47737.93473,82.09277260361289,64000.0,47557.16,60119.489760000004,57718.83512,55778.58,53838.32488,51075.927760000006
2024-03-02,1709337600000,62387.9,62433.19,61561.12,61987.28,25534.73659,80.07312210153756,64000.0,47710.01,60155.56236,57777.22382,55855.005000000005,53932.78618,51196.06786
2024-03-03,1709424000000,61987.28,63231.88,61320.0,63113.97,28994.90903,81.45495546770675,64000.0,48300.95,60295.0242,58002.9629,56150.475,54297.9871,51660.5467
2024-03-04,1709510400000,63113.97,68499.0,62300.0,68245.71,84835.16005,86.16188938870505,68499.0,49225.01,63950.33836,61136.33582,58862.005000000005,56587.67418,53349.64386
2024-03-05,1709596800000,68245.71,69000.0,59005.0,63724.01,132696.7813,69.43825070349776,69000.0,50521.0,64638.956,61941.022,59760.5,57579.978,54475.506
2024-03-06,1709683200000,63724.01,67641.1,62779.14,66074.04,78738.85491,72.43300585795497,69000.0,50521.0,64638.956,61941.022,59760.5,57579.978,54475.506
2024-03-07,1709769600000,66074.04,67980.0,65551.0,66823.17,53059.8869,73.3301698374484,69000.0,50521.0,64638.956,61941.022,59760.5,57579.978,54475.506
2024-03-08,1709856000000,66823.18,69990.0,66082.66,68124.19,74261.932842,74.8603850097774,69990.0,50521.0,65395.316,62552.842,60255.5,57958.157999999996,54687.366
2024-03-09,1709942400000,68124.2,68541.1,67861.1,68313.27,19872.89743,75.08413066079265,69990.0,50521.0,65395.316,62552.842,60255.5,57958.157999999996,54687.366
2024-03-10,1710028800000,68313.28,69887.61,68094.75,68955.88,38404.66835,75.87015690652048,69990.0,50521.0,65395.316,62552.842,60255.5,57958.157999999996,54687.366
2024-03-11,1710115200000,68955.88,72800.0,67024.96,72078.1,75292.825726,79.28888923839904,72800.0,50521.0,67542.156,64289.422,61660.5,59031.578,55288.706
2024-03-12,1710201600000,72078.1,73000.0,68620.82,71452.01,68783.546691,76.93496589258991,73000.0,50521.0,67694.956,64413.022,61760.5,59107.978,55331.505999999994
2024-03-13,1710288000000,71452.0,73650.25,71333.31,73072.41,52659.711647,78.69766184560218,73650.25,50521.0,68191.747,64814.8765,62085.625,59356.3735,55470.659499999994
2024-03-14,1710374400000,73072.4,73777.0,68555.0,71388.94,71757.628746,72.49866854028163,73777.0,50585.0,68303.688,64917.656,62181.0,59444.344,55548.088
2024-03-15,1710460800000,71388.94,72419.71,65600.0,69499.85,103334.03546,66.19734392322015,73777.0,50901.44,68378.36784,65038.53608,62339.22,59639.903920000004,55796.80984
2024-03-16,1710547200000,69499.84,70043.0,64780.0,65300.63,55926.95336,54.796102231699216,73777.0,50901.44,68378.36784,65038.53608,62339.22,59639.903920000004,55796.80984
2024-03-17,1710633600000,65300.64,68904.4,64533.0,68393.48,49742.21589,60.22923640511585,73777.0,54450.13,69215.85868,66394.13566,64113.565,61832.99434,58586.08018
2024-03-18,1710720000000,68393.47,68956.0,66565.2,67609.99,55691.08088,58.31705362259386,73777.0,56691.85,69744.9046,67250.4727,65234.425,63218.3773,60348.0721
2024-03-19,1710806400000,67610.0,68124.11,61555.0,61937.4,101005.32487,46.74544010986731,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-20,1710892800000,61937.41,68100.0,60775.0,67840.51,90420.58592,56.43347020026802,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-21,1710979200000,67840.51,68240.47,64529.01,65501.27,53357.48002,52.367891641026745,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-22,1711065600000,65501.28,66649.62,62260.0,63796.64,51482.37821,49.56564478852227,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-23,1711152000000,63796.64,65999.0,63000.0,63990.01,26410.11409,49.893197833263656,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-24,1711238400000,63990.02,67628.69,63772.29,67209.99,31395.78015,55.120223295529314,73777.0,59005.0,70290.808,68134.096,66391.0,64647.904,62166.208
2024-03-25,1711324800000,67210.0,71150.0,66385.06,69880.01,53431.14486,58.944709365476655,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-26,1711411200000,69880.0,71561.1,69280.0,69988.0,38934.38417,59.09653190035997,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-27,1711497600000,69987.99,71769.54,68359.18,69469.99,49119.35685,57.98876032343809,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-28,1711584000000,69469.99,71552.06,68903.62,70780.6,35439.03239,60.030216385175464,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-29,1711670400000,70780.6,70916.16,69009.0,69850.54,25445.08353,57.88074902180283,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-30,1711756800000,69850.53,70321.1,69540.0,69582.18,13644.61142,57.24383448130549,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-03-31,1711843200000,69582.17,71366.0,69562.99,71280.01,19396.34433,60.22584445884289,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-04-01,1711929600000,71280.0,71288.23,68062.86,69649.8,41445.32039,56.1746355490388,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-04-02,1712016000000,69649.81,69674.23,64550.0,65463.99,71799.82793,47.36462401734723,73777.0,60775.0,70708.528,68810.236,67276.0,65741.764,63557.428
2024-04-03,1712102400000,65463.99,66903.63,64493.07,65963.28,39887.21778,48.40408823740738,72419.71,60775.0,69671.55844000001,67971.43078000001,66597.35500000001,65223.279220000004,63266.96794
2024-04-04,1712188800000,65963.27,69309.91,65064.52,68487.79,41510.48453,53.41364662523905,71769.54,60775.0,69174.82856,67569.62572,66272.26999999999,64974.91428,63127.83156
2024-04-05,1712275200000,68487.8,68756.67,65952.56,67820.62,37915.23073,51.97735565532795,71769.54,60775.0,69174.82856,67569.62572,66272.26999999999,64974.91428,63127.83156
2024-04-06,1712361600000,67820.63,69692.0,67447.83,68896.0,20134.28919,54.11893335549659,71769.54,60775.0,69174.82856,67569.62572,66272.26999999999,64974.91428,63127.83156
2024-04-07,1712448000000,68896.0,70326.29,68824.0,69360.39,21534.74433,55.051139664033265,71769.54,60775.0,69174.82856,67569.62572,66272.26999999999,64974.91428,63127.83156
2024-04-08,1712534400000,69360.38,72797.99,69043.24,71620.0,45723.87624,59.376219972203145,72797.99,60775.0,69960.56436,68205.20782000001,66786.495,65367.78218,63347.91986
2024-04-09,1712620800000,71620.0,71758.19,68210.0,69146.0,39293.90242,53.326072252899216,72797.99,62260.0,70311.02436000001,68772.47782,67528.995,66285.51218,64515.12986
2024-04-10,1712707200000,69146.0,71172.08,67518.0,70631.08,42006.02377,56.21049122401819,72797.99,62260.0,70311.02436000001,68772.47782,67528.995,66285.51218,64515.12986
2024-04-11,1712793600000,70631.08,71305.89,69567.21,70006.23,31917.25595,54.679340754996275,72797.99,63000.0,70485.66436000001,69055.15782000001,67898.995,66742.83218,65096.76986
2024-04-12,1712880000000,70006.22,71227.46,65086.86,67116.52,56072.86229,48.14747596530521,72797.99,63772.29,70667.92480000001,69350.1726,68285.14,67220.10740000001,65703.7898
2024-04-13,1712966400000,67116.52,67929.0,60660.57,63924.51,71395.22019,42.15679528632364,72797.99,60660.57,69933.55888,68161.49556000001,66729.28,65297.06444,63257.97788
2024-04-14,1713052800000,63924.52,65840.0,62134.0,65661.84,61599.17818,46.08855001515313,72797.99,60660.57,69933.55888,68161.49556000001,66729.28,65297.06444,63257.97788
2024-04-15,1713139200000,65661.85,66867.07,62274.4,63419.99,52389.53069,42.110808429774806,72797.99,60660.57,69933.55888,68161.49556000001,66729.28,65297.06444,63257.97788
2024-04-16,1713225600000,63419.99,64365.0,61600.0,63793.39,53435.29331,42.99332261664366,72797.99,60660.57,69933.55888,68161.49556000001,66729.28,65297.06444,63257.97788
2024-04-17,1713312000000,63793.4,64499.0,59678.16,61277.37,50610.54509,38.71096734950772,72797.99,59678.16,69701.71012,67786.21494,66238.07500000001,64689.93506,62485.803620000006
2024-04-18,1713398400000,61277.38,64117.09,60803.35,63470.08,43601.60918,43.9506397632503,72797.99,59678.16,69701.71012,67786.21494,66238.07500000001,64689.93506,62485.803620000006
2024-04-19,1713484800000,63470.09,65450.0,59600.01,63818.01,69774.30271,44.75766800971981,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-20,1713571200000,63818.01,65419.0,63090.07,64940.59,23137.42975,47.38974500464962,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-21,1713657600000,64940.58,65695.56,64237.5,64941.15,19316.42152,47.391091612947044,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-22,1713744000000,64941.15,67232.35,64500.0,66819.32,31397.99371,51.84314676390379,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-23,1713830400000,66819.32,67183.01,65765.81,66414.0,22599.90004,50.84318857277973,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-24,1713916800000,66414.0,67070.43,63606.06,64289.59,33595.69637,45.85127672634912,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-25,1714003200000,64289.58,65297.94,62794.0,64498.34,31341.46338,46.40808570420719,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-26,1714089600000,64498.33,64820.01,63297.48,63770.01,27085.19346,44.68171430120708,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-27,1714176000000,63770.0,63923.41,62391.24,63461.98,20933.06052,43.93728527393721,72797.99,59600.01,69683.26672,67756.36164,66199.0,64641.638360000004,62424.377720000004
2024-04-28,1714262400000,63461.98,64370.0,62781.0,63118.62,16949.20005,43.07576045584323,71758.19,59600.01,68888.85952,67113.76524000001,65679.1,64244.434760000004,62201.86052
2024-04-29,1714348800000,63118.62,64228.35,61765.53,63866.0,28150.22947,45.57721045562319,71305.89,59600.01,68543.30232,66834.24384,65452.95,64071.65616,62105.06832
2024-04-30,1714435200000,63866.0,64734.0,59191.6,60672.0,54947.65535,37.91015987901536,71305.89,59191.6,68446.91756,66678.23122,65248.744999999995,63819.25878,61784.058059999996
2024-05-01,1714521600000,60672.01,60841.63,56552.82,58364.97,81166.46823,33.52350899458975,71227.46,56552.82,67764.24496000001,65621.74752,63890.14,62158.53248,59693.19296
2024-05-02,1714608000000,58364.97,59625.0,56911.84,59060.61,47583.81961,35.930875604476256,67929.0,56552.82,65244.22152,63583.29924,62240.91,60898.52076,58987.32252
2024-05-03,1714694400000,59060.6,63333.0,58811.32,62882.01,43628.40143,47.23512425202866,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-04,1714780800000,62882.01,64540.0,62541.03,63892.04,24368.69282,49.75833426949884,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-05,1714867200000,63892.03,64646.0,62822.17,64012.0,18526.75029,50.06376388975854,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-06,1714953600000,64012.0,65500.0,62700.0,63165.19,34674.91949,47.852279113928184,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-07,1715040000000,63165.18,64422.41,62261.0,62312.08,25598.79472,45.66382963307019,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-08,1715126400000,62312.07,63020.22,60888.0,61193.03,26121.19004,42.892762433521256,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-09,1715212800000,61193.03,63429.03,60630.0,63074.01,30660.8061,48.5450149114543,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-10,1715299200000,63074.0,63469.13,60187.12,60799.99,36529.34025,43.00349453736479,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-11,1715385600000,60799.99,61515.0,60487.09,60825.99,13374.56936,43.083493854448314,67232.35,56552.82,64711.98092,63152.76954,61892.58500000001,60632.400460000004,58838.23942
2024-05-12,1715472000000,60825.99,61888.0,60610.0,61483.99,12753.13236,45.1805495123764,67183.01,56552.82,64674.28516,63122.27742,61867.91499999999,60613.552579999996,58827.68066
2024-05-13,1715558400000,61484.0,63450.0,60749.21,62940.08,32733.41839,49.60543872995567,67070.43,56552.82,64588.27404,63052.702979999995,61811.625,60570.54702,58803.58854
2024-05-14,1715644800000,62940.09,63118.36,61142.77,61577.49,29088.72041,45.87384361858384,65500.0,56552.82,63388.46552,62082.17724,61026.41,59970.64276,58467.51652
2024-05-15,1715731200000,61577.49,66444.16,61319.47,66206.5,43559.74719,57.55528527892735,66444.16,56552.82,64109.80376,62665.66812,61498.490000000005,60331.31188,58669.56676
2024-05-16,1715817600000,66206.51,66752.01,64602.77,65235.21,31106.3671,54.87894992525793,66752.01,56552.82,64345.00116,62855.91942,61652.41499999999,60448.910579999996,58735.44666
2024-05-17,1715904000000,65235.21,67451.2,65106.38,67024.0,26292.23409,58.6888832843691,67451.2,56552.82,64879.18232,63288.01884,62002.009999999995,60716.00116,58885.073319999996
2024-05-18,1715990400000,67024.0,67400.01,66600.0,66915.2,14441.25774,58.36606892459524,67451.2,56552.82,64879.18232,63288.01884,62002.009999999995,60716.00116,58885.073319999996
2024-05-19,1716076800000,66915.2,67700.0,65857.25,66274.01,18025.30409,56.39728644372356,67700.0,56552.82,65069.26552,63441.777239999996,62126.41,60811.04276,58938.31652
2024-05-20,1716163200000,66274.0,71515.56,66060.31,71446.62,50816.7011,66.27923148730007,71515.56,56552.82,67984.35336,65799.79332,64034.19,62268.58668,59754.846359999996
2024-05-21,1716249600000,71446.62,71979.0,69162.94,70148.34,49607.4336,62.45337940527025,71979.0,56911.84,68423.15024,66223.34488,64445.42,62667.49512,60136.21223999999
2024-05-22,1716336000000,70148.34,70666.0,68842.19,69166.62,27673.18026,59.649486785173444,71979.0,58811.32,68871.42752,66948.94624,65395.16,63841.37376,61629.203519999995
2024-05-23,1716422400000,69166.62,70096.12,66312.16,67969.65,40513.17374,56.32888426225659,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-24,1716508800000,67969.66,69250.0,66600.12,68549.99,28095.83664,57.56240062210085,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-25,1716595200000,68549.99,69610.0,68500.0,69290.57,12130.39418,59.14815689752163,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-26,1716681600000,69290.56,69562.23,68128.01,68507.67,11872.11797,56.73462621042526,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-27,1716768000000,68507.67,70687.56,68250.0,69436.43,23136.92737,58.87832751303104,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-28,1716854400000,69436.43,69591.81,67277.91,68398.39,32622.97042,55.56459654449314,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-29,1716940800000,68398.4,68935.68,67124.65,67652.42,23159.83149,53.2454088182878,71979.0,60187.12,69196.11632,67474.50184,66083.06,64691.61816,62710.58232
2024-05-30,1717027200000,67652.41,69500.0,67128.0,68352.17,28478.2184,55.13702088776016,71979.0,60487.09,69266.90924,67589.09038,66233.045,64876.999619999995,62946.358739999996
2024-05-31,1717113600000,68352.17,69044.1,66670.0,67540.01,26690.32184,52.482968005549914,71979.0,60610.0,69295.916,67636.042,66294.5,64952.958,63042.966
2024-06-01,1717200000000,67540.01,67900.0,67428.44,67766.85,8837.66133,53.16113302080709,71979.0,60749.21,69328.76956,67689.22022,66364.105,65038.98978,63152.38506
2024-06-02,1717286400000,67766.84,68460.0,67257.47,67765.63,15426.32529,53.15673892743421,71979.0,61142.77,69421.64972,67839.56014,66560.885,65282.209859999995,63461.72322
2024-06-03,1717372800000,67765.62,70288.0,67612.48,68809.9,29633.374,56.47316127871015,71979.0,61319.47,69463.35092,67907.05954,66649.235,65391.41046,63600.60942
